iter	Passed	Remaining
912	16793	1600
913	16806	1581
914	16819	1562
915	16833	1543
916	16847	1524
917	16860	1506
918	16874	1487
919	16888	1468
920	16903	1449
921	16920	1431
922	16936	1412
923	16951	1394
924	16967	1375
925	16983	1357
926	16993	1338
927	17007	1319
928	17021	1300
929	17037	1282
930	17050	1263
931	17064	1245
932	17078	1226
933	17092	1207
934	17106	1189
935	17119	1170
936	17133	1151
937	17148	1133
938	17162	1114
939	17177	1096
940	17192	1077
941	17206	1059
942	17220	1040
943	17234	1022
944	17248	1003
945	17262	985
946	17275	966
947	17290	948
948	17305	929
949	17318	911
950	17331	893
951	17345	874
952	17358	856
953	17372	837
954	17385	819
955	17400	800
956	17413	782
957	17427	764
958	17438	745
959	17452	727
960	17468	708
961	17482	690
962	17496	672
963	17510	653
964	17522	635
965	17537	617
966	17550	598
967	17564	580
968	17579	562
969	17593	544
970	17606	525
971	17620	507
972	17635	489
973	17649	471
974	17662	452
975	17676	434
976	17689	416
977	17702	398
978	17716	380
979	17730	361
980	17743	343
981	17757	325
982	17770	307
983	17781	289
984	17791	270
985	17805	252
986	17818	234
987	17833	216
988	17847	198
989	17860	180
990	17875	162
991	17889	144
992	17903	126
993	17916	108
994	17930	90
995	17943	72
996	17958	54
997	17973	36
998	17990	18
999	18007	0
